target_gene,which_CS,carbon_source_uptake,growth_rate,acetate_secretion,pts,zwf,gnd,pgi,"edd, eda","pfk, fba",tktA,tktB,tal,"gap, pgk",eno,pyk,pdh,"glta, can",icd,suc,"sdh, fum",mdh,mae,pck,pcc,"pta, acka","acea, aceb"
IclR,glu,8.14,0.50,04.08,7.32,1.93,1.45,5.37,0.48,06.03,0.47,0.24,0.47,12.72,11.90,9.42,8.34,2.34,2.34,1.53,1.53,1.25,0.28,0.35,2.35,4.72,0.00
IdnR,glu,07.03,0.55,4.50,07.05,1.81,1.35,5.21,0.46,5.80,0.43,0.20,0.43,12.18,11.34,8.97,7.65,1.68,1.68,0.84,0.84,0.74,0.10,0.33,2.20,4.65,0.00
IHF A,glu,6.45,0.44,3.64,6.24,1.69,0.98,4.53,0.70,4.93,0.32,0.12,0.32,10.63,9.92,7.78,07.05,2.26,2.26,1.54,1.54,1.35,0.20,0.16,1.87,3.68,0.00
IHF B,glu,7.66,0.55,2.89,7.67,02.01,1.59,5.63,0.42,6.33,0.51,0.24,0.51,13.27,12.32,9.70,08.08,3.60,3.60,2.66,2.66,2.58,0.08,0.36,2.42,2.99,0.00
KdgR,glu,6.39,0.55,3.80,6.53,02.06,1.44,4.45,0.62,5.10,0.47,0.23,0.47,10.98,10.15,7.90,6.67,1.68,1.68,0.85,0.85,0.83,0.02,0.18,1.94,3.69,0.00
LldR,glu,8.32,0.57,4.64,7.89,2.65,1.51,5.21,1.14,5.88,0.48,0.24,0.48,13.07,12.19,9.56,8.97,2.14,2.14,1.27,1.27,01.02,0.26,0.46,2.56,5.43,0.00
LrhA,glu,7.24,0.49,4.12,6.95,02.05,1.49,4.87,0.57,5.57,0.48,0.26,0.48,11.90,11.12,8.55,7.77,1.62,1.62,0.84,0.84,0.40,0.44,0.33,2.42,4.91,0.00
Lrp,glu,5.52,0.45,4.34,5.71,1.56,1.48,4.13,0.08,4.87,0.48,0.29,0.48,10.06,9.39,7.44,6.14,1.47,1.47,0.80,0.80,0.68,0.13,0.44,1.99,3.62,0.00
MarA,glu,7.72,0.56,04.09,7.42,2.00,1.53,5.39,0.46,06.09,0.49,0.25,0.49,12.82,11.94,8.91,08.06,02.06,02.06,1.19,1.19,0.52,0.67,0.39,2.90,4.62,0.00
MarR,glu,8.10,0.55,4.29,7.48,1.70,1.32,5.74,0.38,6.29,0.42,0.18,0.42,13.07,12.19,9.28,8.20,02.03,02.03,1.15,1.15,0.63,0.53,0.36,2.74,4.78,0.00
Mlc,glu,6.71,0.53,4.12,6.71,1.86,1.42,4.83,0.44,5.47,0.46,0.23,0.46,11.55,10.74,8.29,7.19,1.80,1.80,1.00,1.00,0.72,0.27,0.28,2.25,4.12,0.00
ModE,glu,8.30,0.56,3.62,7.66,02.01,1.46,5.62,0.55,6.25,0.47,0.21,0.47,13.17,12.23,9.50,8.15,2.20,2.20,1.27,1.27,01.07,0.22,0.47,2.64,4.48,0.00
