,Experiment Description,Data Definition,Well Substrate,Data Value,Data Submitter
6746,b3829 mutant Biolog assay,OD600 growth,Glutathione (reduced form),0.15,Blattner Laboratory
6747,b3831 mutant Biolog assay,OD600 growth,Glutathione (reduced form),1.7,Blattner Laboratory
6748,b3849 mutant Biolog assay,OD600 growth,Glutathione (reduced form),1.1,Blattner Laboratory
6749,b3857 mutant Biolog assay,OD600 growth,Glutathione (reduced form),0.54,Blattner Laboratory
6750,b3860 mutant Biolog assay,OD600 growth,Glutathione (reduced form),1.14,Blattner Laboratory
6751,b3867 mutant Biolog assay,OD600 growth,Glutathione (reduced form),1.0,Blattner Laboratory
6752,b3870 mutant Biolog assay,OD600 growth,Glutathione (reduced form),1.02,Blattner Laboratory
6753,b3892 mutant Biolog assay,OD600 growth,Glutathione (reduced form),1.73,Blattner Laboratory
6754,b3893 mutant Biolog assay,OD600 growth,Glutathione (reduced form),1.35,Blattner Laboratory
6755,b3894 mutant Biolog assay,OD600 growth,Glutathione (reduced form),0.12,Blattner Laboratory
6756,b3902 mutant Biolog assay,OD600 growth,Glutathione (reduced form),1.12,Blattner Laboratory
6757,b3903 mutant Biolog assay,OD600 growth,Glutathione (reduced form),1.64,Blattner Laboratory
6758,b3904 mutant Biolog assay,OD600 growth,Glutathione (reduced form),1.27,Blattner Laboratory
6759,b3908 mutant Biolog assay,OD600 growth,Glutathione (reduced form),1.42,Blattner Laboratory
6760,b3909 mutant Biolog assay,OD600 growth,Glutathione (reduced form),1.4,Blattner Laboratory
6761,b3916 mutant Biolog assay,OD600 growth,Glutathione (reduced form),1.92,Blattner Laboratory
6762,b3917 mutant Biolog assay,OD600 growth,Glutathione (reduced form),1.41,Blattner Laboratory
6763,b3919 mutant Biolog assay,OD600 growth,Glutathione (reduced form),1.54,Blattner Laboratory
6764,b3924 mutant Biolog assay,OD600 growth,Glutathione (reduced form),1.53,Blattner Laboratory
6765,b3925 mutant Biolog assay,OD600 growth,Glutathione (reduced form),0.11,Blattner Laboratory
6766,b3926 mutant Biolog assay,OD600 growth,Glutathione (reduced form),0.1,Blattner Laboratory
6767,b3927 mutant Biolog assay,OD600 growth,Glutathione (reduced form),1.12,Blattner Laboratory
6768,b3930 mutant Biolog assay,OD600 growth,Glutathione (reduced form),1.47,Blattner Laboratory
6769,b3942 mutant Biolog assay,OD600 growth,Glutathione (reduced form),0.54,Blattner Laboratory
6770,b3945 mutant Biolog assay,OD600 growth,Glutathione (reduced form),1.69,Blattner Laboratory
6771,b3952 mutant Biolog assay,OD600 growth,Glutathione (reduced form),1.44,Blattner Laboratory
6772,b3957 mutant Biolog assay,OD600 growth,Glutathione (reduced form),0.12,Blattner Laboratory
6773,b3958 mutant Biolog assay,OD600 growth,Glutathione (reduced form),0.15,Blattner Laboratory
6774,b3959 mutant Biolog assay,OD600 growth,Glutathione (reduced form),0.13,Blattner Laboratory
6775,b3991 mutant Biolog assay,OD600 growth,Glutathione (reduced form),0.92,Blattner Laboratory
6776,b3992 mutant Biolog assay,OD600 growth,Glutathione (reduced form),0.52,Blattner Laboratory
6777,b3993 mutant Biolog assay,OD600 growth,Glutathione (reduced form),0.94,Blattner Laboratory
6778,b3994 mutant Biolog assay,OD600 growth,Glutathione (reduced form),0.6,Blattner Laboratory
6779,b4005 mutant Biolog assay,OD600 growth,Glutathione (reduced form),1.48,Blattner Laboratory
6780,b4006 mutant Biolog assay,OD600 growth,Glutathione (reduced form),0.14,Blattner Laboratory
6781,b4013 mutant Biolog assay,OD600 growth,Glutathione (reduced form),0.35,Blattner Laboratory
6782,b4025 mutant Biolog assay,OD600 growth,Glutathione (reduced form),1.35,Blattner Laboratory
6783,b4033 mutant Biolog assay,OD600 growth,Glutathione (reduced form),1.49,Blattner Laboratory
6784,b4035 mutant Biolog assay,OD600 growth,Glutathione (reduced form),1.52,Blattner Laboratory
6785,b4039 mutant Biolog assay,OD600 growth,Glutathione (reduced form),1.77,Blattner Laboratory
6786,b4041 mutant Biolog assay,OD600 growth,Glutathione (reduced form),1.38,Blattner Laboratory
6787,b4054 mutant Biolog assay,OD600 growth,Glutathione (reduced form),1.96,Blattner Laboratory
6788,b4070 mutant Biolog assay,OD600 growth,Glutathione (reduced form),1.26,Blattner Laboratory
6789,b4071 mutant Biolog assay,OD600 growth,Glutathione (reduced form),1.17,Blattner Laboratory
6790,b4072 mutant Biolog assay,OD600 growth,Glutathione (reduced form),1.72,Blattner Laboratory
6791,b4073 mutant Biolog assay,OD600 growth,Glutathione (reduced form),1.53,Blattner Laboratory
6792,b4090 mutant Biolog assay,OD600 growth,Glutathione (reduced form),1.37,Blattner Laboratory
6793,b4094 mutant Biolog assay,OD600 growth,Glutathione (reduced form),1.33,Blattner Laboratory
6794,b4095 mutant Biolog assay,OD600 growth,Glutathione (reduced form),1.74,Blattner Laboratory
6795,b4096 mutant Biolog assay,OD600 growth,Glutathione (reduced form),0.21,Blattner Laboratory
6796,b4100 mutant Biolog assay,OD600 growth,Glutathione (reduced form),1.33,Blattner Laboratory
6797,b4104 mutant Biolog assay,OD600 growth,Glutathione (reduced form),0.96,Blattner Laboratory
6798,b4105 mutant Biolog assay,OD600 growth,Glutathione (reduced form),1.88,Blattner Laboratory
6799,b4106 mutant Biolog assay,OD600 growth,Glutathione (reduced form),1.85,Blattner Laboratory
6800,b4111 mutant Biolog assay,OD600 growth,Glutathione (reduced form),0.62,Blattner Laboratory
6801,b4117 mutant Biolog assay,OD600 growth,Glutathione (reduced form),0.11,Blattner Laboratory
6802,b4119 mutant Biolog assay,OD600 growth,Glutathione (reduced form),0.16,Blattner Laboratory
6803,b4120 mutant Biolog assay,OD600 growth,Glutathione (reduced form),0.12,Blattner Laboratory
6804,b4129 mutant Biolog assay,OD600 growth,Glutathione (reduced form),1.08,Blattner Laboratory
6805,b4138 mutant Biolog assay,OD600 growth,Glutathione (reduced form),2.07,Blattner Laboratory
6806,b4173 mutant Biolog assay,OD600 growth,Glutathione (reduced form),1.71,Blattner Laboratory
6807,b3091 mutant Biolog assay,OD600 growth,Gly-Asn,0.97,Blattner Laboratory
6808,b3093 mutant Biolog assay,OD600 growth,Gly-Asn,1.55,Blattner Laboratory
6809,b3132 mutant Biolog assay,OD600 growth,Gly-Asn,1.47,Blattner Laboratory
6810,b3137 mutant Biolog assay,OD600 growth,Gly-Asn,1.16,Blattner Laboratory
6811,b3161 mutant Biolog assay,OD600 growth,Gly-Asn,1.3,Blattner Laboratory
6812,b3172 mutant Biolog assay,OD600 growth,Gly-Asn,0.14,Blattner Laboratory
6813,b3213 mutant Biolog assay,OD600 growth,Gly-Asn,1.48,Blattner Laboratory
6814,b3224 mutant Biolog assay,OD600 growth,Gly-Asn,1.14,Blattner Laboratory
6815,b3225 mutant Biolog assay,OD600 growth,Gly-Asn,1.42,Blattner Laboratory
6816,b3236 mutant Biolog assay,OD600 growth,Gly-Asn,0.73,Blattner Laboratory
6817,b3265 mutant Biolog assay,OD600 growth,Gly-Asn,1.92,Blattner Laboratory
6818,b3336 mutant Biolog assay,OD600 growth,Gly-Asn,1.5,Blattner Laboratory
6819,b3359 mutant Biolog assay,OD600 growth,Gly-Asn,1.56,Blattner Laboratory
6820,b3396 mutant Biolog assay,OD600 growth,Gly-Asn,1.16,Blattner Laboratory
6821,b3403 mutant Biolog assay,OD600 growth,Gly-Asn,1.73,Blattner Laboratory
6822,b3409 mutant Biolog assay,OD600 growth,Gly-Asn,1.88,Blattner Laboratory
6823,b3415 mutant Biolog assay,OD600 growth,Gly-Asn,1.66,Blattner Laboratory
6824,b3416 mutant Biolog assay,OD600 growth,Gly-Asn,1.74,Blattner Laboratory
6825,b3426 mutant Biolog assay,OD600 growth,Gly-Asn,1.88,Blattner Laboratory
6826,b3429 mutant Biolog assay,OD600 growth,Gly-Asn,1.58,Blattner Laboratory
6827,b3430 mutant Biolog assay,OD600 growth,Gly-Asn,1.64,Blattner Laboratory
6828,b3431 mutant Biolog assay,OD600 growth,Gly-Asn,1.96,Blattner Laboratory
6829,b3437 mutant Biolog assay,OD600 growth,Gly-Asn,1.23,Blattner Laboratory
6830,b3450 mutant Biolog assay,OD600 growth,Gly-Asn,1.43,Blattner Laboratory
6831,b3451 mutant Biolog assay,OD600 growth,Gly-Asn,1.05,Blattner Laboratory
6832,b3454 mutant Biolog assay,OD600 growth,Gly-Asn,1.65,Blattner Laboratory
6833,b3456 mutant Biolog assay,OD600 growth,Gly-Asn,1.45,Blattner Laboratory
6834,b3500 mutant Biolog assay,OD600 growth,Gly-Asn,0.54,Blattner Laboratory
6835,b3517 mutant Biolog assay,OD600 growth,Gly-Asn,1.25,Blattner Laboratory
6836,b3519 mutant Biolog assay,OD600 growth,Gly-Asn,1.12,Blattner Laboratory
6837,b3542 mutant Biolog assay,OD600 growth,Gly-Asn,1.48,Blattner Laboratory
6838,b3543 mutant Biolog assay,OD600 growth,Gly-Asn,1.29,Blattner Laboratory
6839,b3544 mutant Biolog assay,OD600 growth,Gly-Asn,1.41,Blattner Laboratory
6840,b3551 mutant Biolog assay,OD600 growth,Gly-Asn,1.29,Blattner Laboratory
6841,b3564 mutant Biolog assay,OD600 growth,Gly-Asn,0.88,Blattner Laboratory
6842,b3565 mutant Biolog assay,OD600 growth,Gly-Asn,0.59,Blattner Laboratory
6843,b3566 mutant Biolog assay,OD600 growth,Gly-Asn,1.4,Blattner Laboratory
6844,b3567 mutant Biolog assay,OD600 growth,Gly-Asn,1.44,Blattner Laboratory
6845,b3568 mutant Biolog assay,OD600 growth,Gly-Asn,0.5,Blattner Laboratory
6846,b3571 mutant Biolog assay,OD600 growth,Gly-Asn,1.24,Blattner Laboratory
6847,b3572 mutant Biolog assay,OD600 growth,Gly-Asn,1.23,Blattner Laboratory
6848,b3580 mutant Biolog assay,OD600 growth,Gly-Asn,1.19,Blattner Laboratory
6849,b3588 mutant Biolog assay,OD600 growth,Gly-Asn,0.8,Blattner Laboratory
6850,b3600 mutant Biolog assay,OD600 growth,Gly-Asn,1.22,Blattner Laboratory
6851,b3603 mutant Biolog assay,OD600 growth,Gly-Asn,1.2,Blattner Laboratory
6852,b3605 mutant Biolog assay,OD600 growth,Gly-Asn,1.25,Blattner Laboratory
6853,b3653 mutant Biolog assay,OD600 growth,Gly-Asn,0.75,Blattner Laboratory
6854,b3671 mutant Biolog assay,OD600 growth,Gly-Asn,0.51,Blattner Laboratory
6855,b3721 mutant Biolog assay,OD600 growth,Gly-Asn,1.0,Blattner Laboratory
6856,b3725 mutant Biolog assay,OD600 growth,Gly-Asn,0.74,Blattner Laboratory
6857,b3731 mutant Biolog assay,OD600 growth,Gly-Asn,0.35,Blattner Laboratory
6858,b3750 mutant Biolog assay,OD600 growth,Gly-Asn,1.17,Blattner Laboratory
6859,b3751 mutant Biolog assay,OD600 growth,Gly-Asn,0.7,Blattner Laboratory
6860,b3771 mutant Biolog assay,OD600 growth,Gly-Asn,0.15,Blattner Laboratory
6861,b3787 mutant Biolog assay,OD600 growth,Gly-Asn,1.09,Blattner Laboratory
6862,b3789 mutant Biolog assay,OD600 growth,Gly-Asn,1.29,Blattner Laboratory
6863,b3806 mutant Biolog assay,OD600 growth,Gly-Asn,1.41,Blattner Laboratory
6864,b3821 mutant Biolog assay,OD600 growth,Gly-Asn,0.99,Blattner Laboratory
6865,b3829 mutant Biolog assay,OD600 growth,Gly-Asn,0.17,Blattner Laboratory
6866,b3831 mutant Biolog assay,OD600 growth,Gly-Asn,1.59,Blattner Laboratory
6867,b3849 mutant Biolog assay,OD600 growth,Gly-Asn,1.57,Blattner Laboratory
6868,b3857 mutant Biolog assay,OD600 growth,Gly-Asn,0.81,Blattner Laboratory
6869,b3860 mutant Biolog assay,OD600 growth,Gly-Asn,1.22,Blattner Laboratory
6870,b3867 mutant Biolog assay,OD600 growth,Gly-Asn,1.03,Blattner Laboratory
6871,b3870 mutant Biolog assay,OD600 growth,Gly-Asn,1.32,Blattner Laboratory
6872,b3892 mutant Biolog assay,OD600 growth,Gly-Asn,1.41,Blattner Laboratory
6873,b3893 mutant Biolog assay,OD600 growth,Gly-Asn,1.45,Blattner Laboratory
6874,b3894 mutant Biolog assay,OD600 growth,Gly-Asn,1.39,Blattner Laboratory
6875,b3902 mutant Biolog assay,OD600 growth,Gly-Asn,1.34,Blattner Laboratory
6876,b3903 mutant Biolog assay,OD600 growth,Gly-Asn,1.39,Blattner Laboratory
6877,b3904 mutant Biolog assay,OD600 growth,Gly-Asn,1.78,Blattner Laboratory
6878,b3908 mutant Biolog assay,OD600 growth,Gly-Asn,2.0,Blattner Laboratory
6879,b3909 mutant Biolog assay,OD600 growth,Gly-Asn,1.62,Blattner Laboratory
6880,b3916 mutant Biolog assay,OD600 growth,Gly-Asn,2.11,Blattner Laboratory
6881,b3917 mutant Biolog assay,OD600 growth,Gly-Asn,1.54,Blattner Laboratory
6882,b3919 mutant Biolog assay,OD600 growth,Gly-Asn,1.49,Blattner Laboratory
6883,b3924 mutant Biolog assay,OD600 growth,Gly-Asn,1.54,Blattner Laboratory
6884,b3925 mutant Biolog assay,OD600 growth,Gly-Asn,1.52,Blattner Laboratory
6885,b3926 mutant Biolog assay,OD600 growth,Gly-Asn,1.54,Blattner Laboratory
6886,b3927 mutant Biolog assay,OD600 growth,Gly-Asn,2.01,Blattner Laboratory
6887,b3930 mutant Biolog assay,OD600 growth,Gly-Asn,1.84,Blattner Laboratory
6888,b3942 mutant Biolog assay,OD600 growth,Gly-Asn,1.58,Blattner Laboratory
6889,b3945 mutant Biolog assay,OD600 growth,Gly-Asn,1.63,Blattner Laboratory
6890,b3952 mutant Biolog assay,OD600 growth,Gly-Asn,1.86,Blattner Laboratory
6891,b3957 mutant Biolog assay,OD600 growth,Gly-Asn,0.14,Blattner Laboratory
6892,b3958 mutant Biolog assay,OD600 growth,Gly-Asn,0.69,Blattner Laboratory
6893,b3959 mutant Biolog assay,OD600 growth,Gly-Asn,0.45,Blattner Laboratory
6894,b3991 mutant Biolog assay,OD600 growth,Gly-Asn,1.51,Blattner Laboratory
6895,b3992 mutant Biolog assay,OD600 growth,Gly-Asn,1.48,Blattner Laboratory
6896,b3993 mutant Biolog assay,OD600 growth,Gly-Asn,1.59,Blattner Laboratory
6897,b3994 mutant Biolog assay,OD600 growth,Gly-Asn,1.69,Blattner Laboratory
6898,b4005 mutant Biolog assay,OD600 growth,Gly-Asn,1.26,Blattner Laboratory
6899,b4006 mutant Biolog assay,OD600 growth,Gly-Asn,0.4,Blattner Laboratory
6900,b4013 mutant Biolog assay,OD600 growth,Gly-Asn,0.44,Blattner Laboratory
6901,b4025 mutant Biolog assay,OD600 growth,Gly-Asn,1.51,Blattner Laboratory
6902,b4033 mutant Biolog assay,OD600 growth,Gly-Asn,1.57,Blattner Laboratory
6903,b4035 mutant Biolog assay,OD600 growth,Gly-Asn,1.76,Blattner Laboratory
6904,b4039 mutant Biolog assay,OD600 growth,Gly-Asn,1.93,Blattner Laboratory
6905,b4041 mutant Biolog assay,OD600 growth,Gly-Asn,1.97,Blattner Laboratory
6906,b4054 mutant Biolog assay,OD600 growth,Gly-Asn,1.93,Blattner Laboratory
6907,b4070 mutant Biolog assay,OD600 growth,Gly-Asn,1.39,Blattner Laboratory
6908,b4071 mutant Biolog assay,OD600 growth,Gly-Asn,1.75,Blattner Laboratory
6909,b4072 mutant Biolog assay,OD600 growth,Gly-Asn,1.71,Blattner Laboratory
6910,b4073 mutant Biolog assay,OD600 growth,Gly-Asn,1.53,Blattner Laboratory
6911,b4090 mutant Biolog assay,OD600 growth,Gly-Asn,1.48,Blattner Laboratory
6912,b4094 mutant Biolog assay,OD600 growth,Gly-Asn,1.44,Blattner Laboratory
6913,b4095 mutant Biolog assay,OD600 growth,Gly-Asn,1.85,Blattner Laboratory
6914,b4096 mutant Biolog assay,OD600 growth,Gly-Asn,1.73,Blattner Laboratory
6915,b4100 mutant Biolog assay,OD600 growth,Gly-Asn,1.55,Blattner Laboratory
6916,b4104 mutant Biolog assay,OD600 growth,Gly-Asn,1.24,Blattner Laboratory
6917,b4105 mutant Biolog assay,OD600 growth,Gly-Asn,1.61,Blattner Laboratory
6918,b4106 mutant Biolog assay,OD600 growth,Gly-Asn,1.61,Blattner Laboratory
6919,b4111 mutant Biolog assay,OD600 growth,Gly-Asn,1.52,Blattner Laboratory
6920,b4117 mutant Biolog assay,OD600 growth,Gly-Asn,1.4,Blattner Laboratory
6921,b4119 mutant Biolog assay,OD600 growth,Gly-Asn,1.64,Blattner Laboratory
6922,b4120 mutant Biolog assay,OD600 growth,Gly-Asn,1.52,Blattner Laboratory
6923,b4129 mutant Biolog assay,OD600 growth,Gly-Asn,1.18,Blattner Laboratory
6924,b4138 mutant Biolog assay,OD600 growth,Gly-Asn,2.84,Blattner Laboratory
6925,b4173 mutant Biolog assay,OD600 growth,Gly-Asn,1.55,Blattner Laboratory
6926,b3091 mutant Biolog assay,OD600 growth,Gly-Gln,1.52,Blattner Laboratory
6927,b3093 mutant Biolog assay,OD600 growth,Gly-Gln,2.15,Blattner Laboratory
6928,b3132 mutant Biolog assay,OD600 growth,Gly-Gln,1.66,Blattner Laboratory
6929,b3137 mutant Biolog assay,OD600 growth,Gly-Gln,1.7,Blattner Laboratory
6930,b3161 mutant Biolog assay,OD600 growth,Gly-Gln,1.61,Blattner Laboratory
6931,b3172 mutant Biolog assay,OD600 growth,Gly-Gln,0.12,Blattner Laboratory
6932,b3213 mutant Biolog assay,OD600 growth,Gly-Gln,1.52,Blattner Laboratory
6933,b3224 mutant Biolog assay,OD600 growth,Gly-Gln,1.49,Blattner Laboratory
6934,b3225 mutant Biolog assay,OD600 growth,Gly-Gln,2.19,Blattner Laboratory
6935,b3236 mutant Biolog assay,OD600 growth,Gly-Gln,2.9,Blattner Laboratory
6936,b3265 mutant Biolog assay,OD600 growth,Gly-Gln,3.0,Blattner Laboratory
6937,b3336 mutant Biolog assay,OD600 growth,Gly-Gln,0.8,Blattner Laboratory
6938,b3359 mutant Biolog assay,OD600 growth,Gly-Gln,1.74,Blattner Laboratory
6939,b3396 mutant Biolog assay,OD600 growth,Gly-Gln,1.16,Blattner Laboratory
6940,b3403 mutant Biolog assay,OD600 growth,Gly-Gln,1.32,Blattner Laboratory
6941,b3409 mutant Biolog assay,OD600 growth,Gly-Gln,2.17,Blattner Laboratory
6942,b3415 mutant Biolog assay,OD600 growth,Gly-Gln,2.97,Blattner Laboratory
6943,b3416 mutant Biolog assay,OD600 growth,Gly-Gln,2.3,Blattner Laboratory
6944,b3426 mutant Biolog assay,OD600 growth,Gly-Gln,2.98,Blattner Laboratory
6945,b3429 mutant Biolog assay,OD600 growth,Gly-Gln,2.9,Blattner Laboratory
6946,b3430 mutant Biolog assay,OD600 growth,Gly-Gln,2.72,Blattner Laboratory
6947,b3431 mutant Biolog assay,OD600 growth,Gly-Gln,1.51,Blattner Laboratory
6948,b3437 mutant Biolog assay,OD600 growth,Gly-Gln,1.37,Blattner Laboratory
6949,b3450 mutant Biolog assay,OD600 growth,Gly-Gln,1.54,Blattner Laboratory
6950,b3451 mutant Biolog assay,OD600 growth,Gly-Gln,2.13,Blattner Laboratory
6951,b3454 mutant Biolog assay,OD600 growth,Gly-Gln,2.84,Blattner Laboratory
6952,b3456 mutant Biolog assay,OD600 growth,Gly-Gln,1.86,Blattner Laboratory
6953,b3500 mutant Biolog assay,OD600 growth,Gly-Gln,0.99,Blattner Laboratory
6954,b3517 mutant Biolog assay,OD600 growth,Gly-Gln,3.08,Blattner Laboratory
6955,b3519 mutant Biolog assay,OD600 growth,Gly-Gln,3.09,Blattner Laboratory
6956,b3542 mutant Biolog assay,OD600 growth,Gly-Gln,1.53,Blattner Laboratory
6957,b3543 mutant Biolog assay,OD600 growth,Gly-Gln,1.27,Blattner Laboratory
6958,b3544 mutant Biolog assay,OD600 growth,Gly-Gln,1.15,Blattner Laboratory
6959,b3551 mutant Biolog assay,OD600 growth,Gly-Gln,1.87,Blattner Laboratory
6960,b3564 mutant Biolog assay,OD600 growth,Gly-Gln,2.66,Blattner Laboratory
6961,b3565 mutant Biolog assay,OD600 growth,Gly-Gln,2.33,Blattner Laboratory
6962,b3566 mutant Biolog assay,OD600 growth,Gly-Gln,2.46,Blattner Laboratory
6963,b3567 mutant Biolog assay,OD600 growth,Gly-Gln,2.16,Blattner Laboratory
6964,b3568 mutant Biolog assay,OD600 growth,Gly-Gln,2.21,Blattner Laboratory
6965,b3571 mutant Biolog assay,OD600 growth,Gly-Gln,2.18,Blattner Laboratory
6966,b3572 mutant Biolog assay,OD600 growth,Gly-Gln,3.05,Blattner Laboratory
6967,b3580 mutant Biolog assay,OD600 growth,Gly-Gln,2.06,Blattner Laboratory
6968,b3588 mutant Biolog assay,OD600 growth,Gly-Gln,2.78,Blattner Laboratory
6969,b3600 mutant Biolog assay,OD600 growth,Gly-Gln,2.67,Blattner Laboratory
6970,b3603 mutant Biolog assay,OD600 growth,Gly-Gln,2.15,Blattner Laboratory
6971,b3605 mutant Biolog assay,OD600 growth,Gly-Gln,2.02,Blattner Laboratory
6972,b3653 mutant Biolog assay,OD600 growth,Gly-Gln,1.41,Blattner Laboratory
6973,b3671 mutant Biolog assay,OD600 growth,Gly-Gln,0.97,Blattner Laboratory
6974,b3721 mutant Biolog assay,OD600 growth,Gly-Gln,2.65,Blattner Laboratory
6975,b3725 mutant Biolog assay,OD600 growth,Gly-Gln,2.23,Blattner Laboratory
6976,b3731 mutant Biolog assay,OD600 growth,Gly-Gln,1.21,Blattner Laboratory
6977,b3750 mutant Biolog assay,OD600 growth,Gly-Gln,1.97,Blattner Laboratory
6978,b3751 mutant Biolog assay,OD600 growth,Gly-Gln,2.72,Blattner Laboratory
6979,b3771 mutant Biolog assay,OD600 growth,Gly-Gln,0.13,Blattner Laboratory
6980,b3787 mutant Biolog assay,OD600 growth,Gly-Gln,2.6,Blattner Laboratory
6981,b3789 mutant Biolog assay,OD600 growth,Gly-Gln,2.62,Blattner Laboratory
6982,b3806 mutant Biolog assay,OD600 growth,Gly-Gln,1.28,Blattner Laboratory
6983,b3821 mutant Biolog assay,OD600 growth,Gly-Gln,2.74,Blattner Laboratory
6984,b3829 mutant Biolog assay,OD600 growth,Gly-Gln,0.16,Blattner Laboratory
6985,b3831 mutant Biolog assay,OD600 growth,Gly-Gln,2.58,Blattner Laboratory
6986,b3849 mutant Biolog assay,OD600 growth,Gly-Gln,2.04,Blattner Laboratory
6987,b3857 mutant Biolog assay,OD600 growth,Gly-Gln,1.95,Blattner Laboratory
6988,b3860 mutant Biolog assay,OD600 growth,Gly-Gln,1.35,Blattner Laboratory
6989,b3867 mutant Biolog assay,OD600 growth,Gly-Gln,1.18,Blattner Laboratory
6990,b3870 mutant Biolog assay,OD600 growth,Gly-Gln,2.27,Blattner Laboratory
6991,b3892 mutant Biolog assay,OD600 growth,Gly-Gln,2.49,Blattner Laboratory
6992,b3893 mutant Biolog assay,OD600 growth,Gly-Gln,2.28,Blattner Laboratory
6993,b3894 mutant Biolog assay,OD600 growth,Gly-Gln,1.6,Blattner Laboratory
6994,b3902 mutant Biolog assay,OD600 growth,Gly-Gln,2.45,Blattner Laboratory
6995,b3903 mutant Biolog assay,OD600 growth,Gly-Gln,2.93,Blattner Laboratory
6996,b3904 mutant Biolog assay,OD600 growth,Gly-Gln,2.06,Blattner Laboratory
6997,b3908 mutant Biolog assay,OD600 growth,Gly-Gln,2.99,Blattner Laboratory
6998,b3909 mutant Biolog assay,OD600 growth,Gly-Gln,2.79,Blattner Laboratory
6999,b3916 mutant Biolog assay,OD600 growth,Gly-Gln,2.53,Blattner Laboratory
7000,b3917 mutant Biolog assay,OD600 growth,Gly-Gln,2.67,Blattner Laboratory
7001,b3919 mutant Biolog assay,OD600 growth,Gly-Gln,2.96,Blattner Laboratory
7002,b3924 mutant Biolog assay,OD600 growth,Gly-Gln,2.48,Blattner Laboratory
7003,b3925 mutant Biolog assay,OD600 growth,Gly-Gln,1.67,Blattner Laboratory
7004,b3926 mutant Biolog assay,OD600 growth,Gly-Gln,1.48,Blattner Laboratory
7005,b3927 mutant Biolog assay,OD600 growth,Gly-Gln,2.95,Blattner Laboratory
7006,b3930 mutant Biolog assay,OD600 growth,Gly-Gln,2.88,Blattner Laboratory
7007,b3942 mutant Biolog assay,OD600 growth,Gly-Gln,1.77,Blattner Laboratory
7008,b3945 mutant Biolog assay,OD600 growth,Gly-Gln,2.76,Blattner Laboratory
7009,b3952 mutant Biolog assay,OD600 growth,Gly-Gln,2.97,Blattner Laboratory
7010,b3957 mutant Biolog assay,OD600 growth,Gly-Gln,0.13,Blattner Laboratory
7011,b3958 mutant Biolog assay,OD600 growth,Gly-Gln,2.96,Blattner Laboratory
7012,b3959 mutant Biolog assay,OD600 growth,Gly-Gln,0.92,Blattner Laboratory
7013,b3991 mutant Biolog assay,OD600 growth,Gly-Gln,2.53,Blattner Laboratory
7014,b3992 mutant Biolog assay,OD600 growth,Gly-Gln,2.64,Blattner Laboratory
7015,b3993 mutant Biolog assay,OD600 growth,Gly-Gln,2.81,Blattner Laboratory
7016,b3994 mutant Biolog assay,OD600 growth,Gly-Gln,2.99,Blattner Laboratory
7017,b4005 mutant Biolog assay,OD600 growth,Gly-Gln,2.5,Blattner Laboratory
7018,b4006 mutant Biolog assay,OD600 growth,Gly-Gln,2.96,Blattner Laboratory
7019,b4013 mutant Biolog assay,OD600 growth,Gly-Gln,0.48,Blattner Laboratory
7020,b4025 mutant Biolog assay,OD600 growth,Gly-Gln,1.79,Blattner Laboratory
7021,b4033 mutant Biolog assay,OD600 growth,Gly-Gln,2.23,Blattner Laboratory
7022,b4035 mutant Biolog assay,OD600 growth,Gly-Gln,2.8,Blattner Laboratory
7023,b4039 mutant Biolog assay,OD600 growth,Gly-Gln,2.98,Blattner Laboratory
7024,b4041 mutant Biolog assay,OD600 growth,Gly-Gln,3.09,Blattner Laboratory
7025,b4054 mutant Biolog assay,OD600 growth,Gly-Gln,3.01,Blattner Laboratory
7026,b4070 mutant Biolog assay,OD600 growth,Gly-Gln,2.73,Blattner Laboratory
7027,b4071 mutant Biolog assay,OD600 growth,Gly-Gln,1.92,Blattner Laboratory
7028,b4072 mutant Biolog assay,OD600 growth,Gly-Gln,2.89,Blattner Laboratory
7029,b4073 mutant Biolog assay,OD600 growth,Gly-Gln,2.63,Blattner Laboratory
7030,b4090 mutant Biolog assay,OD600 growth,Gly-Gln,2.62,Blattner Laboratory
7031,b4094 mutant Biolog assay,OD600 growth,Gly-Gln,2.65,Blattner Laboratory
7032,b4095 mutant Biolog assay,OD600 growth,Gly-Gln,2.82,Blattner Laboratory
7033,b4096 mutant Biolog assay,OD600 growth,Gly-Gln,1.78,Blattner Laboratory
7034,b4100 mutant Biolog assay,OD600 growth,Gly-Gln,2.6,Blattner Laboratory
7035,b4104 mutant Biolog assay,OD600 growth,Gly-Gln,2.25,Blattner Laboratory
7036,b4105 mutant Biolog assay,OD600 growth,Gly-Gln,2.77,Blattner Laboratory
7037,b4106 mutant Biolog assay,OD600 growth,Gly-Gln,2.46,Blattner Laboratory
7038,b4111 mutant Biolog assay,OD600 growth,Gly-Gln,1.76,Blattner Laboratory
7039,b4117 mutant Biolog assay,OD600 growth,Gly-Gln,2.77,Blattner Laboratory
7040,b4119 mutant Biolog assay,OD600 growth,Gly-Gln,1.69,Blattner Laboratory
7041,b4120 mutant Biolog assay,OD600 growth,Gly-Gln,1.53,Blattner Laboratory
7042,b4129 mutant Biolog assay,OD600 growth,Gly-Gln,2.74,Blattner Laboratory
7043,b4138 mutant Biolog assay,OD600 growth,Gly-Gln,3.0,Blattner Laboratory
7044,b4173 mutant Biolog assay,OD600 growth,Gly-Gln,2.88,Blattner Laboratory
